Year,Series Code,Country Name,Country Code,EG.ELC.ACCS.ZS,FX.OWN.TOTL.ZS,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.MKTP.PP.KD,,,,,
1960,1960 [YR1960],Iran,IRN,,,50350548202.7421,,2345.11087212965,,,,,,
1961,1961 [YR1961],Iran,IRN,,,55582432557.7808,10.3909183549937,2512.11791006455,,,,,,
1962,1962 [YR1962],Iran,IRN,,,59978596070.5945,7.90926792965325,2629.72819341093,,,,,,
1963,1963 [YR1963],Iran,IRN,,,64202333927.261,7.04207522912871,2729.80655122362,,,,,,
1964,1964 [YR1964],Iran,IRN,,,69643628268.6439,8.4752282487856,2870.3801257982,,,,,,
1965,1965 [YR1965],Iran,IRN,,,81507915872.7607,17.0357115203008,3255.50135774216,,,,,,
1966,1966 [YR1966],Iran,IRN,,,90883288325.821,11.5024072848285,3518.61621818274,,,,,,
1967,1967 [YR1967],Iran,IRN,,,101110205808.448,11.2528030961675,3797.07696677175,,,,,,
1968,1968 [YR1968],Iran,IRN,,,115674304556.643,14.4041826754728,4215.93673234613,,,,,,
1969,1969 [YR1969],Iran,IRN,,,133623091839.002,15.5166589080891,4726.09252157204,,,,,,
1970,1970 [YR1970],Iran,IRN,,,148224891000.395,10.9276016296547,5085.75681676835,,,,,,
1971,1971 [YR1971],Iran,IRN,,,168534047458.466,13.7015829939225,5612.36301510845,,,,,,
1972,1972 [YR1972],Iran,IRN,,,192969825709.818,14.4990158486367,6240.70077372592,,,,,,
1973,1973 [YR1973],Iran,IRN,,,207330025746.583,7.44168161210852,6511.65454254456,,,,,,
1974,1974 [YR1974],Iran,IRN,,,219357345962.942,5.80105084782068,6688.44521322137,,,,,,
1975,1975 [YR1975],Iran,IRN,,,218641766675.082,-0.326216240773292,6468.12239488762,,,,,,
1976,1976 [YR1976],Iran,IRN,,,258566705735.058,18.2604356281607,7422.12860861168,,,,,,
1977,1977 [YR1977],Iran,IRN,,,251395157266.795,-2.77357769163513,6996.18431406879,,,,,,
1978,1978 [YR1978],Iran,IRN,,,219113865436.214,-12.8408566742286,5901.81296035878,,,,,,
1979,1979 [YR1979],Iran,IRN,,,192774712987.119,-12.0207602547921,5016.91486789935,,,,,,
1980,1980 [YR1980],Iran,IRN,,,151136050943.17,-21.5996493516924,3793.35429688212,,,,,,
1981,1981 [YR1981],Iran,IRN,,,142526151688.067,-5.69678723333881,3394.34358172067,,,,,,
1982,1982 [YR1982],Iran,IRN,,,175551236248.121,23.1712455355796,3965.27550470445,,,,,,
1983,1983 [YR1983],Iran,IRN,,,195014104732.137,11.0867168468735,4236.71681089406,,,,,,
1984,1984 [YR1984],Iran,IRN,,,181090389202.494,-7.13985049890006,3788.97762858202,,,,,,
1985,1985 [YR1985],Iran,IRN,,,184472523734.211,1.86764993250704,3720.53262273169,,,,,,
1986,1986 [YR1986],Iran,IRN,,,166422061469.432,-9.78490557801793,3234.88543131803,,,,,,
1987,1987 [YR1987],Iran,IRN,,,166135636307.771,-0.172107687605632,3115.61803177018,,,,,,
1988,1988 [YR1988],Iran,IRN,,,156031272523.14,-6.08199661986552,2833.18757791548,,,,,,
1989,1989 [YR1989],Iran,IRN,,,165599290646.835,6.13211567717991,2920.36931132344,,,,,,
1990,1990 [YR1990],Iran,IRN,,,188112392401.369,13.594926443584,3222.20102704479,563718236595.034,,,,,
1991,1991 [YR1991],Iran,IRN,,,212033043457.695,12.7161484424098,3534.65396417255,635401484357.393,,,,,
1992,1992 [YR1992],Iran,IRN,,,219025854894.467,3.29798191958058,3579.73221786246,656356910428.247,,,,,
1993,1993 [YR1993],Iran,IRN,,,215803959420.018,-1.47101148218381,3514.51966574661,646701824911.74,,,,,
1994,1994 [YR1994],Iran,IRN,,,212138990732.738,-1.69828611909162,3448.25956881527,635718977587.352,,,,,
1995,1995 [YR1995],Iran,IRN,,,217232542412.818,2.40104455220023,3492.17204969482,650982873466.016,,,,,
1996,1996 [YR1996],Iran,IRN,,,231027951539.907,6.35052601873645,3674.0326860276,692323710222.994,,,,,
1997,1997 [YR1997],Iran,IRN,,,234147751320.933,1.3503992743003,3679.27534912962,701672844581.654,,,,,
1998,1998 [YR1998],Iran,IRN,,,239018052131.649,2.08001178027133,3704.56563043092,716267722407.917,,,,,
1999,1999 [YR1999],Iran,IRN,,,243804857656.766,2.00269623253435,3725.31745828772,730612389099.44,,,,,
2000,2000 [YR2000],Iran,IRN,97.9,,258056537598.384,5.84552747578209,3885.30183360649,773320537045.716,,,,,
2001,2001 [YR2001],Iran,IRN,98.1,,264229695672.548,2.39217271207868,3917.29935489016,791819699909.824,,,,,
2002,2002 [YR2002],Iran,IRN,98.1,,285576361692.342,8.07882927975243,4198.95356080727,855789461668.986,,,,,
2003,2003 [YR2003],Iran,IRN,98.2,,310248155730.812,8.6392983972006,4511.43134034458,929723666914.367,,,,,
2004,2004 [YR2004],Iran,IRN,98.3,,323702581949.347,4.33666597851041,4607.45169088209,970042676871.602,,,,,
2005,2005 [YR2005],Iran,IRN,98.4,,334028060139.024,3.18980408728824,4650.35841490708,1000985137826.89,,,,,
2006,2006 [YR2006],Iran,IRN,98.4,,350728779262.979,4.99979526181222,4778.7934584732,1051032345319.41,,,,,
2007,2007 [YR2007],Iran,IRN,98.7,,379333424181.702,8.15577352358517,5084.71796043623,1136752163063.28,,,,,
2008,2008 [YR2008],Iran,IRN,98.8,,380285006935.854,0.250856553493634,5035.94008533618,1139603780361.31,,,,,
2009,2009 [YR2009],Iran,IRN,99.7,,384115942794.318,1.00738545790475,5023.89314362941,1151083983122.4,,,,,
2010,2010 [YR2010],Iran,IRN,99.4,,406386748164.51,5.79793830169604,5249.06133369759,1217823122264.54,,,,,
2011,2011 [YR2011],Iran,IRN,99.5,73.683851106327,417138595177.331,2.6457179180628,5321.75870744453,1250043286820.61,,,,,
2012,2012 [YR2012],Iran,IRN,99.5,,401507697046.153,-3.74717139864109,5058.64637811835,1203202022306.23,,,,,
2013,2013 [YR2013],Iran,IRN,99.8,,395396833390.87,-1.52197920494184,4916.97291948475,1184889537733.29,,,,,
2014,2014 [YR2014],Iran,IRN,100,92.2802532699244,415106476157.82,4.98477506709476,5093.20319702187,1243953615982.83,,,,,
2015,2015 [YR2015],Iran,IRN,100,,409191686496.677,-1.42488493937503,4952.73355532178,1226228708255.88,,,,,
2016,2016 [YR2016],Iran,IRN,100,,445262288195.34,8.8150866425182,5312.61724954192,1334321831324.07,,,,,
2017,2017 [YR2017],Iran,IRN,99.9,93.9819167043946,458739730634.758,3.02685468694025,5395.2398398598,1374709814214.37,,,,,
2018,2018 [YR2018],Iran,IRN,100,,441546348305.719,-3.74796015711334,5127.22495367018,1323186238101.69,,,,,
2019,2019 [YR2019],Iran,IRN,100,,431119516583.705,-2.36143538770575,4952.45669081078,1291940050029.9,,,,,
2020,2020 [YR2020],Iran,IRN,100,,450269020578.621,4.44180865358672,5132.82430762118,1349325554971.29,,,,,
2021,2021 [YR2021],Iran,IRN,100,89.9846708281017,468869169367.781,4.13089685034471,5300.62271961895,1405064801822.49,,,,,
2022,2022 [YR2022],Iran,IRN,100,,489278157562.545,4.35281087521344,5465.31447539413,1466224615320.02,,,,,
2023,2023 [YR2023],Iran,IRN,100,,515368187132.474,5.33235117216407,5687.84396330117,1544408860781.59,,,,,
2024,2024 [YR2024],Iran,IRN,,91.0610044635676,534246745197.836,3.66312056830718,5834.44296939863,1600982419419.64,,,,,
2025,2025 [YR2025],Iran,IRN,,,,,,,,,,,
