rank,province,Misery Index - 2023
,Nationwide,48.8
5,East Azerbaijan,51.4
29,West Azerbaijan,50.7
2,Ardabil,51.3
6,Isfahan,55.5
1,Alborz,51.8
12,Ilam,49.8
3,Bushehr,45.4
28,Tehran,43.2
4,Chaharmahal and Bakhtiari,56.4
27,South Khorasan,49.4
24,Razavi Khorasan,49.2
21,North Khorasan,48.7
15,Khuzestan,48.8
31,Zanjan,45.6
25,Semnan,44.1
26,Sistan and Baluchestan,48.3
7,Fars,47.6
22,Qazvin,48.3
23,Qom,49.7
17,Kurdistan,57.2
13,Kerman,49.4
14,Kermanshah,57.3
16,Kohgiluyeh and Boyer-Ahmad,50
9,Golestan,50.2
8,Gilan,49.2
18,Lorestan,56.5
20,Mazandaran,45.9
19,Markazi,49.4
11,Hormozgan,53.1
10,Hamadan,51.6
30,Yazd,57.4
